observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,count,classificationMethod,classificationTimestamp,observationComments
2023_05_5A_1_obs_06029,5A_P800HK06278624,2023_05_5A_1_img_06116,2023_05_5A_1_evt_02010,2023-08-14T12:27:06-08:00,2023-08-14T12:27:06-08:00,media,Empty,NA,machine,2023-11-21 11:05:15.701459,comments
2023_05_5A_1_obs_06030,5A_P800HK06278624,2023_05_5A_1_img_06117,2023_05_5A_1_evt_02010,2023-08-14T12:27:11-08:00,2023-08-14T12:27:11-08:00,media,Empty,NA,machine,2023-11-21 11:05:16.128455,comments
2023_05_5A_1_obs_06031,5A_P800HK06278624,2023_05_5A_1_img_06118,2023_05_5A_1_evt_02011,2023-08-14T12:27:38-08:00,2023-08-14T12:27:38-08:00,media,Empty,NA,machine,2023-11-21 11:05:16.557067,comments
2023_05_5A_1_obs_06032,5A_P800HK06278624,2023_05_5A_1_img_06119,2023_05_5A_1_evt_02011,2023-08-14T12:27:43-08:00,2023-08-14T12:27:43-08:00,media,Empty,NA,machine,2023-11-21 10:34:14.328016,comments
2023_05_5A_1_obs_06033,5A_P800HK06278624,2023_05_5A_1_img_06120,2023_05_5A_1_evt_02011,2023-08-14T12:27:48-08:00,2023-08-14T12:27:48-08:00,media,Empty,NA,machine,2023-11-21 11:05:16.983893,comments
2023_05_5A_1_obs_06034,5A_P800HK06278624,2023_05_5A_1_img_06121,2023_05_5A_1_evt_02012,2023-08-14T12:28:07-08:00,2023-08-14T12:28:07-08:00,media,Empty,NA,machine,2023-11-21 11:05:17.411895,comments
2023_05_5A_1_obs_06035,5A_P800HK06278624,2023_05_5A_1_img_06122,2023_05_5A_1_evt_02012,2023-08-14T12:28:12-08:00,2023-08-14T12:28:12-08:00,media,Bird,NA,machine,2023-11-21 11:05:17.838947,comments
2023_05_5A_1_obs_06036,5A_P800HK06278624,2023_05_5A_1_img_06123,2023_05_5A_1_evt_02012,2023-08-14T12:28:17-08:00,2023-08-14T12:28:17-08:00,media,Empty,NA,machine,2023-11-21 10:34:14.753176,comments
2023_05_5A_1_obs_06037,5A_P800HK06278624,2023_05_5A_1_img_06124,2023_05_5A_1_evt_02013,2023-08-14T12:32:12-08:00,2023-08-14T12:32:12-08:00,media,Bird,NA,machine,2023-11-21 10:34:15.176190,comments
2023_05_5A_1_obs_06038,5A_P800HK06278624,2023_05_5A_1_img_06125,2023_05_5A_1_evt_02013,2023-08-14T12:32:17-08:00,2023-08-14T12:32:17-08:00,media,Bird,NA,machine,2023-11-21 11:05:18.265768,comments
2023_05_5A_1_obs_06039,5A_P800HK06278624,2023_05_5A_1_img_06126,2023_05_5A_1_evt_02013,2023-08-14T12:32:22-08:00,2023-08-14T12:32:22-08:00,media,Empty,NA,machine,2023-11-21 11:05:18.695981,comments
2023_05_5A_1_obs_06040,5A_P800HK06278624,2023_05_5A_1_img_06127,2023_05_5A_1_evt_02014,2023-08-14T12:35:17-08:00,2023-08-14T12:35:17-08:00,media,Empty,NA,machine,2023-11-21 10:34:15.605319,comments
2023_05_5A_1_obs_06041,5A_P800HK06278624,2023_05_5A_1_img_06128,2023_05_5A_1_evt_02014,2023-08-14T12:35:22-08:00,2023-08-14T12:35:22-08:00,media,Empty,NA,machine,2023-11-21 11:05:19.122726,comments
2023_05_5A_1_obs_06042,5A_P800HK06278624,2023_05_5A_1_img_06129,2023_05_5A_1_evt_02014,2023-08-14T12:35:27-08:00,2023-08-14T12:35:27-08:00,media,Bird,NA,machine,2023-11-21 11:05:19.551168,comments
2023_05_5A_1_obs_06043,5A_P800HK06278624,2023_05_5A_1_img_06130,2023_05_5A_1_evt_02015,2023-08-14T19:35:05-08:00,2023-08-14T19:35:05-08:00,media,Bird,NA,machine,2023-11-21 11:05:19.978067,comments
2023_05_5A_1_obs_06044,5A_P800HK06278624,2023_05_5A_1_img_06131,2023_05_5A_1_evt_02015,2023-08-14T19:35:10-08:00,2023-08-14T19:35:10-08:00,media,Bird,NA,machine,2023-11-21 10:34:16.032603,comments
2023_05_5A_1_obs_06045,5A_P800HK06278624,2023_05_5A_1_img_06132,2023_05_5A_1_evt_02015,2023-08-14T19:35:15-08:00,2023-08-14T19:35:15-08:00,media,Bird,NA,machine,2023-11-21 11:05:20.395479,comments
2023_05_5A_1_obs_06046,5A_P800HK06278624,2023_05_5A_1_img_06133,2023_05_5A_1_evt_02016,2023-08-15T01:44:44-08:00,2023-08-15T01:44:44-08:00,media,Bird,NA,machine,2023-11-21 11:05:20.811426,comments
2023_05_5A_1_obs_06047,5A_P800HK06278624,2023_05_5A_1_img_06134,2023_05_5A_1_evt_02016,2023-08-15T01:44:49-08:00,2023-08-15T01:44:49-08:00,media,Fox,NA,machine,2023-11-21 11:05:21.224379,comments
2023_05_5A_1_obs_06048,5A_P800HK06278624,2023_05_5A_1_img_06135,2023_05_5A_1_evt_02016,2023-08-15T01:44:54-08:00,2023-08-15T01:44:54-08:00,media,Fox,NA,machine,2023-11-21 10:34:16.446658,comments
2023_05_5A_1_obs_06049,5A_P800HK06278624,2023_05_5A_1_img_06136,2023_05_5A_1_evt_02017,2023-08-15T01:45:09-08:00,2023-08-15T01:45:09-08:00,media,Fox,NA,machine,2023-11-21 10:34:16.858207,comments
2023_05_5A_1_obs_06050,5A_P800HK06278624,2023_05_5A_1_img_06137,2023_05_5A_1_evt_02017,2023-08-15T01:45:14-08:00,2023-08-15T01:45:14-08:00,media,Bird,NA,machine,2023-11-21 11:05:21.642149,comments
2023_05_5A_1_obs_06051,5A_P800HK06278624,2023_05_5A_1_img_06138,2023_05_5A_1_evt_02017,2023-08-15T01:45:19-08:00,2023-08-15T01:45:19-08:00,media,Bird,NA,machine,2023-11-21 11:05:22.054900,comments
2023_05_5A_1_obs_06052,5A_P800HK06278624,2023_05_5A_1_img_06140,2023_05_5A_1_evt_02018,2023-08-16T10:06:18-08:00,2023-08-16T10:06:18-08:00,media,Empty,NA,machine,2023-11-21 11:05:22.469601,comments
2023_05_5A_1_obs_06053,5A_P800HK06278624,2023_05_5A_1_img_06141,2023_05_5A_1_evt_02018,2023-08-16T10:06:23-08:00,2023-08-16T10:06:23-08:00,media,Empty,NA,machine,2023-11-21 11:05:22.898764,comments
2023_05_5A_1_obs_06054,5A_P800HK06278624,2023_05_5A_1_img_06142,2023_05_5A_1_evt_02018,2023-08-16T10:06:28-08:00,2023-08-16T10:06:28-08:00,media,Empty,NA,machine,2023-11-21 11:05:23.337557,comments
2023_05_5A_1_obs_06055,5A_P800HK06278624,2023_05_5A_1_img_06143,2023_05_5A_1_evt_02019,2023-08-16T10:26:15-08:00,2023-08-16T10:26:15-08:00,media,Empty,NA,machine,2023-11-21 10:34:17.695977,comments
2023_05_5A_1_obs_06056,5A_P800HK06278624,2023_05_5A_1_img_06144,2023_05_5A_1_evt_02019,2023-08-16T10:26:20-08:00,2023-08-16T10:26:20-08:00,media,Empty,NA,machine,2023-11-21 11:05:23.767525,comments
