observationID,deploymentID,sequenceID,mediaID,timeStamp,observationType,cameraSetup,taxonID,scientificName,count,countNew,lifeStage,sex,behaviour,individualID,classificationMethod,classifiedBy
year_camLoc_camID_tripNum_img_00064_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00067_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00072_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00078_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00081_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00084_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00088_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00001_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00005_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00008_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00009_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
